,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,target,accuracy,var
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Coffee,0.62,0.0389
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Beef,0.56,0.0285
2,2.0,2.0,2.0,2.0,2.0,2.0,,,OliveOil,0.64,0.0141
3,3.0,3.0,3.0,3.0,3.0,,,,Rock,0.59,0.0062
4,4.0,4.0,4.0,4.0,,,,,PickupGestureWiimoteZ,0.8,0.0027
5,5.0,5.0,5.0,,,,,,ShakeGestureWiimoteZ,0.88,0.0098
6,6.0,6.0,,,,,,,FaceFour,0.89,0.0049
7,7.0,,,,,,,,Meat,0.87,0.0091
8,,,,,,,,,Car,0.66,0.0098
