,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,target,accuracy,var
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Car,0.38,0.0064
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Beef,0.4,0.0153
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,Car,0.38,0.0052
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,Coffee,0.57,0.0079
4,4.0,4.0,4.0,4.0,4.0,4.0,,,,,FaceFour,0.47,0.0191
5,5.0,5.0,5.0,5.0,5.0,,,,,,Meat,0.45,0.0264
6,6.0,6.0,6.0,6.0,,,,,,,OliveOil,0.42,0.0
7,7.0,7.0,7.0,,,,,,,,PickupGestureWiimoteZ,0.38,0.0045
8,8.0,8.0,,,,,,,,,Rock,0.4,0.0041
9,9.0,,,,,,,,,,ShakeGestureWiimoteZ,0.54,0.0018
10,,,,,,,,,,,Wine,0.58,0.0043
